event_id,event_type,shot_type,manual_frame,resolved_frame,image_x,image_y,projected_x,projected_y,position_source,fallback_used,fallback_source,projection_status,render_as_physical_event,should_have_rendered,failure_reason,audit_verdict
manual_full_rally_001,hit,serve_topspin,100,100,1467.0,1461.0,58.884,677.512,local_ball_detection,no,,projected,no,no,Tennis sequence validator marked position_trust=invalid: implausible_serve_position. Serve contact projected to near side; expected far serving side for this manual rally. Serve H1 resolved to the near side or non-plausible serving baseline region; Product Owner observed wrong-side serve placement. Hit-to-bounce sequence stays on near side instead of crossing to far; tennis rally geometry is suspicious.,wrong_side_likely
manual_full_rally_002,bounce,,154,154,1885.5,1176.0,124.352,533.67,local_ball_detection,no,,projected,no,no,Tennis sequence validator marked position_trust=suspicious: impossible_hit_bounce_transition. Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce. Bounce is on near side after a near-side hit; expected far.,suspicious_position
manual_full_rally_003,hit,forehand_flat,196,196,1575.0,1422.0,75.852,659.562,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_004,bounce,,240,240,2304.0,711.0,215.342,185.237,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_005,hit,forehand_slice,258,259,1427.167,1442.167,50.82,669.762,local_ball_detection,no,,projected,no,no,"Tennis sequence validator marked position_trust=suspicious: wrong_side_likely. Projected to near court side, but sequence expects far for this rally event.",wrong_side_likely
manual_full_rally_006,bounce,,328,328,2910.0,939.0,350.634,368.295,local_ball_detection,no,,projected,no,no,"Tennis sequence validator marked position_trust=suspicious: wrong_side_likely. Bounce projected to far court side, but sequence expects near.",wrong_side_likely
manual_full_rally_007,hit,forehand_topspin,362,362,2433.0,1437.0,228.718,658.27,local_ball_detection,no,,projected,no,no,Tennis sequence validator marked position_trust=suspicious: suspicious_transition. Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce. Hit-to-bounce sequence stays on near side instead of crossing to far; tennis rally geometry is suspicious.,suspicious_position
manual_full_rally_008,bounce,,418,418,2182.5,1608.0,184.271,730.644,local_ball_detection,no,,projected,no,no,"Tennis sequence validator marked position_trust=suspicious: wrong_side_likely. Bounce projected to near court side, but sequence expects far. Bounce is on near side after a near-side hit; expected far.",wrong_side_likely
manual_full_rally_009,hit,backhand_slice,463,463,2835.0,934.5,333.732,366.012,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_010,bounce,,540,540,1944.0,1390.5,140.916,641.912,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_011,hit,backhand_topspin,571,571,2079.0,1533.0,166.601,702.068,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_012,bounce,,603,603,2301.0,708.0,214.61,182.386,local_ball_detection,no,,projected,yes,yes,"Position source, projection, and local tennis sequence checks did not flag this row.",valid_position
manual_full_rally_013,hit,forehand_topspin_adjusted,658,658,1651.5,1194.0,78.514,546.267,local_ball_detection,no,,projected,no,no,"Tennis sequence validator marked position_trust=suspicious: wrong_side_likely. Projected to near court side, but sequence expects far for this rally event. Hit-to-bounce sequence stays on near side instead of crossing to far; tennis rally geometry is suspicious.",suspicious_position
manual_full_rally_014,bounce,,722,722,1273.5,1587.0,33.574,730.116,local_ball_detection,no,,projected,no,no,Tennis sequence validator marked position_trust=suspicious: impossible_hit_bounce_transition. Hit-to-bounce pair stays on near side; expected the ball to cross the net before the next bounce. Bounce is on near side after a near-side hit; expected far.,suspicious_position
manual_full_rally_015,hit,inside_out_forehand_topspin,762,762,2778.0,910.5,322.464,348.801,local_ball_detection,no,,projected,no,no,"Tennis sequence validator marked position_trust=suspicious: wrong_side_likely. Projected to far court side, but sequence expects near for this rally event. Hit-to-bounce sequence stays on far side instead of crossing to near; tennis rally geometry is suspicious.",suspicious_position
manual_full_rally_016,bounce,,810,810,2551.5,696.0,281.537,166.228,local_ball_detection,no,,projected,no,no,Tennis sequence validator marked position_trust=suspicious: impossible_hit_bounce_transition. Hit-to-bounce pair stays on far side; expected the ball to cross the net before the next bounce. Bounce is on far side after a far-side hit; expected near.,suspicious_position
